,Date,Daily Brokerage,Signals
460,2020-11-10,80,"beginx, hold, squareoff"
461,2020-11-11,140,"beginx, squareoff, hold, buy"
462,2020-11-12,140,"beginx, squareoff, hold, sell"
463,2020-11-13,140,"beginx, squareoff, hold, buy"
464,2020-11-17,140,"beginx, squareoff, hold, buy"
465,2020-11-18,140,"beginx, squareoff, hold, buy"
466,2020-11-19,220,"beginx, squareoff, hold, sell"
467,2020-11-20,80,"beginx, hold, squareoff"
468,2020-11-23,140,"beginx, squareoff, hold, buy"
469,2020-11-24,80,"beginx, hold, squareoff"
470,2020-11-25,220,"beginx, squareoff, hold, sell"
471,2020-11-26,80,"beginx, hold, squareoff"
472,2020-11-27,140,"beginx, hold, hard-squareoff, buy"
473,2020-12-01,80,"beginx, hold, squareoff"
474,2020-12-02,140,"beginx, hold, hard-squareoff, sell"
475,2020-12-03,80,"beginx, hold, squareoff"
476,2020-12-04,140,"beginx, squareoff, hold, buy"
477,2020-12-07,80,"beginx, hold, squareoff"
478,2020-12-08,140,"beginx, squareoff, hold, buy"
479,2020-12-09,80,"beginx, hold, squareoff"
480,2020-12-10,140,"beginx, hold, hard-squareoff, sell"
481,2020-12-11,140,"beginx, squareoff, hold, sell"
482,2020-12-14,140,"beginx, squareoff, hold, buy"
483,2020-12-15,140,"beginx, squareoff, hold, buy"
484,2020-12-16,220,"beginx, squareoff, hold, buy"
485,2020-12-17,80,"beginx, hold, squareoff"
486,2020-12-18,140,"beginx, squareoff, hold, buy"
487,2020-12-21,220,"hard-squareoff, sell, beginx, squareoff, hold"
488,2020-12-22,80,"beginx, hold, squareoff"
489,2020-12-23,80,"beginx, hold, squareoff"
490,2020-12-24,80,"beginx, hold, squareoff"
491,2020-12-28,80,"beginx, hold, squareoff"
492,2020-12-29,80,"beginx, hold, squareoff"
493,2020-12-30,140,"beginx, squareoff, hold, buy"
494,2020-12-31,80,"beginx, hold, squareoff"
495,2021-01-01,80,"beginx, hold, squareoff"
496,2021-01-04,140,"beginx, squareoff, hold, buy"
497,2021-01-05,140,"beginx, squareoff, hold, buy"
498,2021-01-06,220,"beginx, squareoff, hold, sell"
499,2021-01-07,140,"beginx, squareoff, hold, buy"
500,2021-01-08,80,"beginx, hold, squareoff"
501,2021-01-11,140,"beginx, squareoff, hold, buy"
502,2021-01-12,80,"beginx, hold, squareoff"
503,2021-01-13,80,"beginx, hold, squareoff"
504,2021-01-14,140,"beginx, squareoff, hold, buy"
505,2021-01-15,220,"beginx, squareoff, hold, sell"
506,2021-01-18,140,"beginx, squareoff, hold, sell"
507,2021-01-19,220,"beginx, squareoff, hold, buy"
508,2021-01-20,80,"beginx, hold, squareoff"
509,2021-01-21,80,"beginx, hold, squareoff"
510,2021-01-22,80,"beginx, hold, squareoff"
511,2021-01-25,140,"beginx, squareoff, hold, sell"
512,2021-01-27,80,"beginx, hold, squareoff"
513,2021-01-28,80,"beginx, hold, squareoff"
